"동별","가구원수별","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년",
"중구","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","9301","9141","8952","8931","8851",
"중구","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","6134","5654","5344","5119","4873",
"중구","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1425","1282","1194","1137","1083",
"중구","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","352","298","263","245","231",
"중구","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","85","79","71","70","63",
"중구","평균 가구원수","가구원수별 가구수 (동별) (2015년 이후)","명","2.09","2.02","1.99","1.93","1.9",
"소공동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","925","","","","",
"소공동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","435","","","","",
"소공동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","244","","","","",
"소공동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","160","","","","",
"소공동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","70","","","","",
"소공동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","12","","","","",
"소공동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","X","","","","",
"소공동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","X","","","","",
"회현동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2010","","","","",
"회현동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","867","","","","",
"회현동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","577","","","","",
"회현동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","307","","","","",
"회현동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","198","","","","",
"회현동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","50","","","","",
"회현동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","9","","","","",
"회현동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","X","","","","",
"명동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1061","","","","",
"명동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","581","","","","",
"명동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","258","","","","",
"명동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","130","","","","",
"명동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","65","","","","",
"명동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","20","","","","",
"명동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","X","","","","",
"명동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","6","","","","",
"필동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1906","","","","",
"필동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1020","","","","",
